"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","548.7058","555.7702","558.6791","548.1712","","-1.27%"
"11/30/2023","555.7702","563.3776","569.9921","552.3628","","-1.35%"
"11/29/2023","563.3776","558.4773","563.7178","554.7119","","0.88%"
"11/28/2023","558.4773","549.7358","560.5520","549.1447","","1.59%"
"11/27/2023","549.7359","554.7787","555.4717","548.1745","","-0.87%"
"11/24/2023","554.5442","561.7142","561.9261","553.2744","","-1.28%"
"11/22/2023","561.7142","566.3468","567.7141","550.4982","","-0.82%"
"11/21/2023","566.3469","565.0044","566.7265","562.0480","","0.24%"
"11/20/2023","565.0044","556.7494","566.7586","555.4823","","1.48%"
"11/17/2023","556.7494","547.6106","557.3757","546.4797","","1.67%"
"11/16/2023","547.6106","563.5154","563.8571","545.3878","","-2.82%"
"11/15/2023","563.5154","567.5568","568.9276","562.6830","","-0.71%"
"11/14/2023","567.5568","566.9747","573.6482","564.6165","","0.10%"
"11/13/2023","566.9747","558.5133","567.8076","555.2604","","1.60%"
"11/10/2023","558.0461","555.3557","560.3714","554.0595","","0.58%"
"11/09/2023","554.8010","556.2648","560.6522","553.8678","","-0.17%"
"11/08/2023","555.7555","563.0394","564.5043","553.9397","","-1.21%"
"11/07/2023","562.5783","579.0989","579.3370","562.4359","","-2.78%"
"11/06/2023","578.6681","577.8941","583.7430","577.6707","","0.13%"
"11/03/2023","577.8941","584.1828","588.9501","576.5923","","-1.08%"
"11/02/2023","584.1828","575.2869","585.0820","575.2869","","1.55%"
"11/01/2023","575.2869","576.9723","585.3546","575.2063","","-0.29%"
"10/31/2023","576.9723","579.5079","585.2321","576.0496","","-0.44%"
"10/30/2023","579.5079","591.4137","591.4137","577.7092","","-2.01%"
"10/27/2023","591.4137","582.7776","592.5203","582.4481","","1.48%"
"10/26/2023","582.7777","589.0051","589.6631","579.5515","","-1.06%"
"10/25/2023","589.0052","583.4583","589.3598","576.0732","","0.95%"
"10/24/2023","583.4583","590.7658","593.0809","580.1831","","-1.24%"
"10/23/2023","590.7658","600.3283","600.3283","590.2839","","-1.67%"
"10/20/2023","600.7975","602.4059","607.6762","599.3151","","-0.27%"
"10/19/2023","602.4060","598.9816","604.6365","591.6130","","0.57%"
"10/18/2023","598.9816","591.4033","603.6567","591.4033","","1.28%"
"10/17/2023","591.4034","591.3277","594.2663","587.4296","","0.01%"
"10/16/2023","591.3278","595.8477","598.1892","590.7311","","-0.76%"
"10/13/2023","595.8477","577.9808","596.3937","577.9190","","3.09%"
"10/12/2023","577.9808","576.4522","582.7258","574.5144","","0.13%"
"10/11/2023","577.2121","584.0607","587.6993","574.1075","","-1.35%"
"10/10/2023","585.0868","586.5717","587.6037","582.0431","","-0.43%"
"10/09/2023","587.6353","574.8590","592.4666","574.8590","","2.07%"
"10/06/2023","575.7124","572.4605","577.0748","570.4147","","0.43%"
"10/05/2023","573.2747","579.7920","581.7458","571.4019","","-1.11%"
"10/04/2023","579.7286","600.2809","601.4622","579.5717","","-3.42%"
"10/03/2023","600.2809","602.0114","602.7199","596.4890","","-0.29%"
"10/02/2023","602.0114","609.6176","613.3291","600.8456","","-1.26%"
"09/29/2023","609.6686","615.7245","621.4442","608.8004","","-0.98%"
"09/28/2023","615.7246","618.3013","623.4271","614.6562","","-0.42%"
"09/27/2023","618.3013","609.0479","619.8955","609.0479","","1.52%"
"09/26/2023","609.0479","609.1948","610.0282","601.9117","","-0.02%"
"09/25/2023","609.1948","611.2389","613.7101","605.8858","","-0.33%"
